Timestamp,Total final consumption / Mean values [W],temperature_2m (°C),Is_Daylight,Lights,Month,Day Type,Hour,Avg Peak Consumption (W),Avg Low Consumption (W),Max Peak Consumption (W),Min Avg Low Consumption (W),Date,Percentage Increase,Active,Sleep,light_amount,Kitchen,fridge_max,Fridge_E,activity_intensity,LCD_TV,Games_Console,Cell_Phone,Washing_machine,Computer_desk,heating,Unknown
2019-01-22 01:00:00,970.0,23.3,0,0.0,1,Weekday,1,1992.331119893216,262.70844695083446,2052.030710424144,148.6837382469164,2019-01-22,96.75456389452333,1,0,482.8052738336714,0.0,476.1021481958763,360.24843423924017,2.3671906776557248,25.0,5,0,0.0,10.0,0.0,86.9462919270884
2019-01-22 02:00:00,753.0,21.7,0,0.0,1,Weekday,2,0.0,385.70804698365504,0.0,220.4574161374592,2019-01-22,52.73833671399595,1,0,263.1643002028398,0.0,476.1021481958763,338.6381503051387,1.2902926125586762,25.0,5,0,0.0,10.0,0.0,111.1975494920215
2019-01-22 03:00:00,725.0,20.6,0,0.0,1,Weekday,3,0.0,592.7998512972367,0.0,408.9011522226776,2019-01-22,47.05882352941176,0,0,0.0,0.0,476.1021481958763,330.5319727390346,1.1513380235138952,25.0,5,0,0.0,10.0,0.0,354.4680272609654
2019-01-22 04:00:00,755.0,19.9,0,0.0,1,Weekday,4,0.0,487.6422807901968,0.0,270.25409274132346,2019-01-22,53.14401622718052,1,0,265.1886409736308,0.0,476.1021481958763,328.0372643299037,1.3002179403475886,25.0,5,0,0.0,10.0,0.0,121.77409469646545
2019-01-22 05:00:00,712.0,18.8,0,0.0,1,Weekday,5,0.0,535.5636806595642,0.0,233.16381557059503,2019-01-22,44.42190669371197,0,0,0.0,0.0,476.1021481958763,319.09549407000804,1.0868233928859616,25.0,5,0,0.0,10.0,0.0,352.90450592999196
2019-01-22 06:00:00,699.0,17.6,0,0.0,1,Weekday,6,0.0,464.0757808564036,0.0,200.23660122572352,2019-01-22,41.784989858012175,0,0,0.0,0.0,476.1021481958763,311.2297815124506,1.022308762258028,25.0,5,0,0.0,10.0,0.0,347.7702184875494
2019-01-22 07:00:00,542.0,17.2,1,157.0,1,Weekday,7,0.0,546.913178607721,0.0,248.5360014848892,2019-01-22,9.939148073022313,0,0,157.0,0.0,476.1021481958763,300.1034005764534,0.24317053082836587,25.0,5,0,0.0,10.0,0.0,44.896599423546604
2019-01-22 08:00:00,493.0,17.6,1,0.0,1,Weekday,8,1838.22841268637,419.7606818641283,2089.515777831287,114.9074389222568,2019-01-22,0.0,0,0,0.0,0.0,476.1021481958763,299.7543085177138,0.0,25.0,5,0,0.0,10.0,0.0,153.2456914822862
2019-01-22 09:00:00,1098.304,17.1,1,0.0,1,Weekday,9,1907.2179320458329,390.50999633884703,2119.3833629573587,174.7726435273927,2019-01-22,122.77971602434079,1,0,0.0,0.0,476.1021481958763,330.49784341967484,3.003920305970065,25.0,5,0,0.0,10.0,0.0,727.8061565803253
2019-01-22 10:00:00,1595.164,16.7,1,0.0,1,Weekday,10,2112.176158659505,587.2809423341229,2177.293893000245,300.92455714552904,2019-01-22,223.56267748478703,1,0,0.0,0.0,476.1021481958763,355.7955050678456,5.469669488569695,175.0,5,0,0.0,10.0,0.0,1049.3684949321544
2019-01-22 11:00:00,1007.0,17.5,1,0.0,1,Weekday,11,2209.9049144261,404.92379663740746,2723.436044273825,348.7952796194152,2019-01-22,104.25963488843813,1,0,0.0,0.0,476.1021481958763,327.79215713972485,2.550809241750613,25.0,5,0,0.0,10.0,0.0,639.2078428602752
2019-01-22 12:00:00,1956.0,19.4,1,0.0,1,Weekday,12,1986.9416049147967,396.6768853352715,1991.1912764124063,396.6768853352715,2019-01-22,296.7545638945233,1,0,0.0,0.0,476.1021481958763,391.9647475865867,7.260377277589781,350.0,5,0,0.0,10.0,0.0,1199.0352524134132
2019-01-22 13:00:00,1712.0,21.4,1,0.0,1,Weekday,13,2255.881830646836,0.0,2644.339193734809,0.0,2019-01-22,247.26166328600408,1,0,0.0,0.0,476.1021481958763,390.274993472475,6.049487287342408,175.0,5,0,0.0,10.0,0.0,1131.725006527525
2019-01-22 14:00:00,1527.0,24.1,1,0.0,1,Weekday,14,2298.603570407113,536.4525279925745,3159.3639714573283,536.4525279925745,2019-01-22,209.73630831643004,1,0,0.0,0.0,476.1021481958763,396.0377977506572,5.131394466867966,175.0,5,0,0.0,10.0,0.0,940.9622022493428
2019-01-22 15:00:00,2338.0,26.9,1,0.0,1,Weekday,15,2223.189372090397,557.2398371221248,2683.2611417307644,133.66855444047792,2019-01-22,374.2393509127789,1,0,0.0,811.0,476.1021481958763,457.87908458184074,9.156114885272142,525.0,100,15,0.0,262.11990894308946,0.0,167.00100647506997
2019-01-22 16:00:00,1139.0,29.1,1,0.0,1,Weekday,16,2454.47750969951,693.9348172551984,3693.019002612397,676.8023738013453,2019-01-22,131.0344827586207,1,0,0.0,0.0,476.1021481958763,404.18018433349226,3.2058808758188646,25.0,5,0,0.0,10.0,0.0,694.8198156665078
2019-01-22 17:00:00,1490.0,30.2,1,0.0,1,Weekday,17,2921.8264283869257,567.297249662327,4211.727413205814,200.87023366142049,2019-01-22,202.2312373225152,1,0,0.0,0.0,476.1021481958763,430.27945790590695,4.947775902773077,175.0,5,0,0.0,10.0,0.0,869.720542094093
2019-01-22 18:00:00,1253.0,30.9,1,0.0,1,Weekday,18,2453.803934118277,0.0,3456.4597616463507,0.0,2019-01-22,154.158215010142,1,0,0.0,0.0,476.1021481958763,421.24298714071494,3.771624559786899,25.0,5,0,0.0,10.0,0.0,791.757012859285
2019-01-22 19:00:00,1666.0,31.2,1,0.0,1,Weekday,19,2440.3707500911964,585.0946134407498,2881.0246887149324,389.3225210346265,2019-01-22,237.93103448275863,1,0,0.0,0.0,476.1021481958763,446.03502236550923,5.821204748197411,175.0,5,0,0.0,10.0,0.0,1029.9649776344909
2019-01-22 20:00:00,1665.0,31.2,1,0.0,1,Weekday,20,2212.6735546660248,307.6054387064364,2385.49945127451,296.33815870225703,2019-01-22,237.72819472616632,1,0,0.0,0.0,476.1021481958763,445.9793161859231,5.816242084302955,175.0,5,0,0.0,10.0,0.0,1029.0206838140768
2019-01-22 21:00:00,1778.0,30.2,0,0.0,1,Weekday,21,2122.702061491955,152.1547147075385,2834.039009850364,66.47284748790509,2019-01-22,260.64908722109533,1,0,499.0,0.0,476.1021481958763,446.3228376267041,6.3770231043765335,175.0,5,0,0.0,10.0,0.0,642.6771623732959
2019-01-22 22:00:00,2315.0,28.4,0,0.0,1,Weekday,22,2244.301552038463,789.7913294223265,2723.9630159758653,789.7913294223265,2019-01-22,369.5740365111562,1,0,499.0,0.0,476.1021481958763,465.52475773003306,9.041973615699645,525.0,100,15,0.0,265.4287771679473,0.0,445.0464651020195
2019-01-22 23:00:00,2160.0,26.4,0,0.0,1,Weekday,23,2545.047221687843,191.415616995744,3163.5563544904608,191.415616995744,2019-01-22,338.1338742393509,1,0,499.0,0.0,476.1021481958763,444.9877461892905,8.272760712058895,350.0,5,15,0.0,290.1087174565087,0.0,555.9035363542009
2019-01-23 00:00:00,2280.0,24.4,0,0.0,1,Weekday,0,1992.713595686393,450.6224207366385,2100.185817832513,268.83605297845247,2019-01-23,240.2985074626866,1,0,499.0,0.0,476.1021481958763,439.7699340347257,9.282105259880787,350.0,100,15,0.0,161.60127018633543,0.0,714.6287957789389
2019-01-23 01:00:00,1002.0,22.5,0,0.0,1,Weekday,1,1992.331119893216,262.70844695083446,2052.030710424144,148.6837382469164,2019-01-23,49.55223880597015,0,0,0.0,0.0,476.1021481958763,357.27001050403663,1.91407387967728,25.0,5,0,0.0,10.0,0.0,604.7299894959633
2019-01-23 02:00:00,781.0,20.7,0,0.0,1,Weekday,2,0.0,385.70804698365504,0.0,220.4574161374592,2019-01-23,16.567164179104477,0,1,0.0,0.0,476.1021481958763,334.24664648110104,0.6399463874824641,25.0,5,0,0.0,10.0,0.0,406.75335351889896
2019-01-23 03:00:00,748.0,20.2,0,0.0,1,Weekday,3,0.0,592.7998512972367,0.0,408.9011522226776,2019-01-23,11.641791044776118,0,1,0.0,0.0,476.1021481958763,329.43270412853553,0.44969205606875856,25.0,5,0,0.0,10.0,0.0,378.56729587146447
2019-01-23 04:00:00,731.0,20.0,0,0.0,1,Weekday,4,0.0,487.6422807901968,0.0,270.25409274132346,2019-01-23,9.104477611940299,0,1,0.0,0.0,476.1021481958763,327.2954437050821,0.3516822489768497,25.0,5,0,0.0,10.0,0.0,363.7045562949179
2019-01-23 05:00:00,670.0,19.3,0,0.0,1,Weekday,5,0.0,535.5636806595642,0.0,233.16381557059503,2019-01-23,0.0,0,1,0.0,0.0,476.1021481958763,319.73147295361605,0.0,25.0,5,0,0.0,10.0,0.0,310.26852704638395
2019-01-23 06:00:00,895.0,17.2,0,0.0,1,Weekday,6,0.0,464.0757808564036,0.0,200.23660122572352,2019-01-23,33.582089552238806,0,0,0.0,225.0,476.1021481958763,319.767681970347,1.297188623275265,25.0,5,0,0.0,10.0,0.0,310.232318029653
2019-01-23 07:00:00,712.0,16.6,1,183.0,1,Weekday,7,0.0,546.913178607721,0.0,248.5360014848892,2019-01-23,6.26865671641791,0,0,183.0,0.0,476.1021481958763,306.00268499462146,0.24214187634471612,25.0,5,0,0.0,10.0,0.0,182.9973150053786
2019-01-23 08:00:00,693.0,16.2,1,0.0,1,Weekday,8,1838.22841268637,419.7606818641283,2089.515777831287,114.9074389222568,2019-01-23,3.4328358208955225,0,0,0.0,0.0,476.1021481958763,302.5637568415061,0.13260150371258267,25.0,5,0,0.0,10.0,0.0,350.4362431584939
2019-01-23 09:00:00,1231.0,15.7,1,0.0,1,Weekday,9,1907.2179320458329,390.50999633884703,2119.3833629573587,174.7726435273927,2019-01-23,83.73134328358209,1,0,0.0,0.0,476.1021481958763,329.55804303260425,3.2343236340329944,25.0,5,0,0.0,10.0,0.0,861.4419569673958
2019-01-23 10:00:00,1604.203,15.8,1,0.0,1,Weekday,10,2112.176158659505,587.2809423341229,2177.293893000245,300.92455714552904,2019-01-23,139.43328358208956,1,0,0.0,0.0,476.1021481958763,350.94288405792076,5.385944459687211,175.0,5,0,0.0,10.0,0.0,1063.2601159420792
